,segment,label,speaker,start,end,intersection,union
46,[ 00:04:01.027 -->  00:04:04.286],AU,SPEAKER_01,241.02716468590833,244.28692699490662,-349.89907300509344,353.3398353140916
47,[ 00:04:14.966 -->  00:04:17.003],AV,SPEAKER_01,254.9660441426146,257.00339558573853,-337.1826044142615,339.4009558573854
48,[ 00:04:22.266 -->  00:04:23.624],AW,SPEAKER_03,262.2665534804754,263.6247877758914,-330.56121222410866,332.10044651952455
49,[ 00:04:38.157 -->  00:04:38.259],AX,SPEAKER_00,278.1578947368421,278.25976230899835,-315.9262376910017,316.2091052631579
50,[ 00:04:38.276 -->  00:04:38.378],AY,SPEAKER_00,278.276740237691,278.37860780984727,-315.80739219015277,316.09025976230896
51,[ 00:04:42.232 -->  00:04:42.996],AZ,SPEAKER_00,282.23259762309,282.99660441426147,-311.18939558573857,312.13440237691
52,[ 00:04:44.592 -->  00:04:44.643],BA,SPEAKER_00,284.5925297113753,284.64346349745335,-309.5425365025467,309.7744702886247
53,[ 00:04:44.779 -->  00:04:44.983],BB,SPEAKER_00,284.7792869269949,284.98302207130735,-309.2029779286927,309.58771307300503
54,[ 00:04:53.488 -->  00:04:54.864],BC,SPEAKER_00,293.4889643463498,294.8641765704584,-299.3218234295416,300.87803565365016
55,[ 00:04:56.154 -->  00:05:02.911],BD,SPEAKER_00,296.15449915110355,302.91171477079797,-291.27428522920206,298.2125008488964
56,[ 00:05:03.200 -->  00:05:04.677],BE,SPEAKER_00,303.2003395585739,304.6774193548388,-289.50858064516126,291.1666604414261
57,[ 00:05:05.288 -->  00:05:06.748],BF,SPEAKER_00,305.2886247877759,306.74872665534804,-287.437273344652,289.07837521222405
58,[ 00:05:07.037 -->  00:05:09.261],BG,SPEAKER_00,307.03735144312395,309.26146010186756,-284.9245398981325,287.329648556876
59,[ 00:05:10.314 -->  00:05:11.146],BH,SPEAKER_00,310.31409168081495,311.1460101867573,-283.03998981324276,284.052908319185
60,[ 00:05:11.417 -->  00:05:12.487],BI,SPEAKER_00,311.41765704584043,312.4872665534805,-281.69873344651955,282.94934295415953
